"Date","Último","Apertura","Máximo","Mínimo","% var."
01/05/2021,"6,8950","6,9050","6,9050","6,8950","0,00%"
01/04/2021,"6,8950","6,9150","6,9400","6,8950","-0,29%"
01/03/2021,"6,9150","6,9050","6,9450","6,8900","0,14%"
01/02/2021,"6,9050","6,8950","6,9450","6,8850","0,15%"
01/01/2021,"6,8950","6,8950","6,9350","6,8650","0,00%"
01/12/2020,"6,8950","6,9050","6,9300","6,8650","-0,14%"
01/11/2020,"6,9050","6,9150","6,9400","6,8800","-0,22%"
01/10/2020,"6,9200","6,9050","6,9400","6,8850","0,22%"
01/09/2020,"6,9050","6,9050","6,9150","6,8950","0,00%"
01/08/2020,"6,9050","6,9050","6,9150","6,8950","0,00%"
01/07/2020,"6,9050","6,9050","6,9300","6,8950","0,00%"
01/06/2020,"6,9050","6,9050","6,9350","6,8950","0,00%"
01/05/2020,"6,9050","6,8950","6,9150","6,8950","0,15%"
01/04/2020,"6,8950","6,8950","6,9250","6,8850","0,00%"
01/03/2020,"6,8950","6,9150","6,9150","6,8700","-0,29%"
01/02/2020,"6,9150","6,9150","6,9250","6,9000","0,00%"
01/01/2020,"6,9150","6,9050","6,9250","6,9050","0,14%"
01/12/2019,"6,9050","6,9150","6,9150","6,8950","-0,14%"
01/11/2019,"6,9150","6,9150","6,9200","6,9050","0,00%"
01/10/2019,"6,9150","6,9150","6,9250","6,9000","0,00%"
01/09/2019,"6,9150","6,9350","6,9350","6,8950","-0,29%"
01/08/2019,"6,9350","6,9150","6,9350","6,8950","0,29%"
01/07/2019,"6,9150","6,9250","6,9350","6,8950","-0,14%"
01/06/2019,"6,9250","6,9250","6,9350","6,9000","0,14%"